Track Title,Similar Songs,Similarity Scores
اه حبايب,بيتكلم عليا; خدنى الحنين; دول مش حبايب; بيحسدونى; طبيب جراح,0.9505; 0.9505; 0.9503; 0.9449; 0.9425
قلبى الشوق,سلف ودين; تروح; حلف القمر; للهوى احكام; خدنى الحنين,0.9332; 0.9317; 0.9249; 0.9245; 0.9235
ادى اللى كانوا,بنفكر بالناس; بيتكلم عليا; عشاق اخر زمن; اسكت; طبيب جراح,0.9397; 0.9319; 0.9274; 0.9263; 0.9248
قلب العاشق دليله,نجوم الليل; اصعب فراق; بيتكلم عليا; 7 صاحى الليل; طبيب جراح,0.9537; 0.9518; 0.9464; 0.9414; 0.9399
الفرقه صعبه,خدنى الحنين; نص عمرى; بيتكلم عليا; نجم عالى; دول مش حبايب,0.9402; 0.9285; 0.9260; 0.9237; 0.9235
الله كريم,خدنى الحنين; قول الكلمتين; سلف ودين; للهوى احكام; عشاق اخر زمن,0.9468; 0.9461; 0.9454; 0.9432; 0.9431
انا اسف,سلف ودين; للهوى احكام; الله كريم; ارضى بالنصيب; حنينك حنينى,0.9264; 0.9213; 0.9195; 0.9103; 0.9101
انا راضى بالسهر,يوم; تروح; مستنى منى ايه; قول الكلمتين; للهوى احكام,0.9523; 0.9522; 0.9448; 0.9447; 0.9432
اصعب فراق,دول مش حبايب; بيتكلم عليا; طبيب جراح; قلب العاشق دليله; نجوم الليل,0.9580; 0.9554; 0.9532; 0.9518; 0.9514
قول الكلمتين,مستنى منى ايه; للهوى احكام; اسكت; خدنى الحنين; الله كريم,0.9552; 0.9504; 0.9491; 0.9485; 0.9461
بنفكر بالناس,دول مش حبايب; نجوم الليل; زمن العجايب; اصعب فراق; سكت الكلام,0.9513; 0.9467; 0.9433; 0.9428; 0.9424
بإسم الحب الجميل,نص عمرى; عشاق اخر زمن; بيتكلم عليا; لعبه نظر; ياه عالزمن,0.9469; 0.9401; 0.9386; 0.9381; 0.9363
بيحسدونى,مستنى منى ايه; شكرا; نص عمرى; دول مش حبايب; خدنى الحنين,0.9541; 0.9501; 0.9501; 0.9483; 0.9477
بيتكلم عليا,دول مش حبايب; اصعب فراق; شكرا; نص عمرى; خسرت الناس,0.9603; 0.9554; 0.9547; 0.9509; 0.9509
دول مش حبايب,بيتكلم عليا; طبيب جراح; اصعب فراق; بنفكر بالناس; اه حبايب,0.9603; 0.9593; 0.9580; 0.9513; 0.9503
العاشق مننا,الزمن دوار; اه حبايب; بيتكلم عليا; دول مش حبايب; اسكت,0.9453; 0.9397; 0.9362; 0.9316; 0.9308
الايام دى صعبه شويه,دول مش حبايب; نص عمرى; اصعب فراق; بيحسدونى; اسكت,0.9467; 0.9436; 0.9430; 0.9373; 0.9368
الدهب حبيبى,7 صاحى الليل; كلام الناس; ذكريات; دول مش حبايب; سلف ودين,0.9317; 0.9293; 0.9282; 0.9280; 0.9278
الهوى سلطان,صابر وراضى; ذكريات; سلف ودين; ملكه جمال الروح; زمن العجايب,0.8542; 0.8482; 0.8474; 0.8365; 0.8364
الكلمه الطيبه,ياه عالزمن; نص عمرى; لعبه نظر; تقولو ليه; 7 صاحى الليل,0.9489; 0.9475; 0.9424; 0.9385; 0.9370
الصبر طيب,دول مش حبايب; اصعب فراق; بيتكلم عليا; خدنى الحنين; طبيب جراح,0.9462; 0.9449; 0.9415; 0.9405; 0.9392
الزمن دوار,العاشق مننا; بيتكلم عليا; ليل العاشقين; زمن العجايب; كلنا مجاريح,0.9453; 0.9342; 0.9310; 0.9287; 0.9286
ارضى بالنصيب,للهوى احكام; حد ينسى قلبه; حنينك حنينى; تخسر رهانك; لعبه نظر,0.9357; 0.9279; 0.9263; 0.9242; 0.9231
اتاخرت كتير,بيحسدونى; الدنيا; ليله وداعنا حبيبى; بيتكلم عليا; شكرا,0.9445; 0.9429; 0.9416; 0.9404; 0.9388
غدر ناس,سكت الكلام; حد ينسى قلبه; بنفكر بالناس; عشاق اخر زمن; يوم,0.9291; 0.9270; 0.9245; 0.9238; 0.9219
